Feature,Importance Score,Rank
Hair loss(Y/N),1.194996766656615,1
Pimples(Y/N),1.0622256485090948,2
Fast food (Y/N),0.9049318443354087,3
Weight gain(Y/N),0.6330560763602239,4
Cycle length(days),0.473979500112915,5
Skin darkening (Y/N),0.45878764818560713,6
hair growth(Y/N),0.3766422196278648,7
Cycle(R/I),0.36494296965288026,8
Weight (Kg),0.35761560615809884,9
Follicle No. (R),0.34571035049371884,10
 Age (yrs),0.1707102478310247,11
Waist(inch),0.10232206944766328,12
Follicle No. (L),0.0028294572787333667,13
Hip(inch),3.6991368383113023e-06,14
FSH(mIU/mL),-4.0457336652545005e+17,15
