Feature,Importance Score,Rank
RR (breaths/min),60.0,1
Fast food (Y/N),9.543468810856556,2
 Age (yrs),4.1472645759915645,3
  I   beta-HCG(mIU/mL),3.937867396257043,4
Marraige Status (Yrs),3.1635853143527948,5
Hip(inch),2.995301636918164,6
Follicle No. (L),2.6336715245028866,7
Weight gain(Y/N),1.3641584035705012,8
Reg.Exercise(Y/N),1.216339491750646,9
FSH/LH,1.0803362358519721,10
Weight (Kg),1.0272408447319072,11
Hair loss(Y/N),0.8266210269154276,12
Waist(inch),0.7838138062975886,13
FSH(mIU/mL),0.5673556550371521,14
Avg. F size (L) (mm),0.5201769600903036,15
Pimples(Y/N),0.46129579034611023,16
Cycle(R/I),0.18103135316539157,17
Follicle No. (R),0.0834402067664748,18
hair growth(Y/N),0.05502864290228109,19
Vit D3 (ng/mL),0.04406898694633266,20
Cycle length(days),0.013495936029117028,21
Skin darkening (Y/N),0.0007690033607862646,22
