Feature,Importance Score,Rank
Follicle No. (R),60.0,1
Follicle No. (L),55.0,2
Skin darkening (Y/N),157.67217793991242,3
hair growth(Y/N),148.425534017251,4
Weight gain(Y/N),130.16844777201683,5
Cycle(R/I),103.6748283221794,6
Fast food (Y/N),90.25330743780687,7
Pimples(Y/N),48.04356633546898,8
Weight (Kg),25.349272059836732,9
Cycle length(days),17.7348592939936,10
Hair loss(Y/N),16.605366186917554,11
 Age (yrs),15.753058803023535,12
Waist(inch),15.009456775359544,13
Hip(inch),14.581533400511725,14
