Feature,Importance Score,Rank,Fold
Vit D3 (ng/mL),60.0,1,1
Hb(g/dl),5.703679070624232,2,1
Skin darkening (Y/N),3.9169428616676587,3,1
Cycle(R/I),2.751300241590966,4,1
Weight gain(Y/N),1.9927458430027087,5,1
Hair loss(Y/N),1.7612999371208273,6,1
Pimples(Y/N),1.544192508983207,7,1
Marraige Status (Yrs),1.2747234318862717,8,1
Endometrium (mm),1.0767431254177926,9,1
Fast food (Y/N),0.9847183494820047,10,1
Follicle No. (R),0.7746692088779376,11,1
Avg. F size (R) (mm),0.43540198769427796,12,1
Cycle length(days),0.4327655633889434,13,1
hair growth(Y/N),0.43117015957609395,14,1
Follicle No. (L),0.4021676906338786,15,1
Pulse rate(bpm) ,0.3757444912433009,16,1
 Age (yrs),0.2983952886511293,17,1
AMH(ng/mL),0.1280612923419526,18,1
BMI,0.08244116940884894,19,1
Waist(inch),0.03992364015155097,20,1
Avg. F size (L) (mm),0.02294235246011555,21,1
Hip(inch),0.013057680937528677,22,1
Weight (Kg),0.00010950320315070691,23,1
Vit D3 (ng/mL),60.0,1,2
Cycle(R/I),12.283492304682218,2,2
Marraige Status (Yrs),8.675869349162804,3,2
hair growth(Y/N),7.448780255181066,4,2
 Age (yrs),5.3923639147982465,5,2
Cycle length(days),5.028777565537822,6,2
Weight gain(Y/N),4.819667008848152,7,2
Avg. F size (L) (mm),3.597108333248859,8,2
Follicle No. (L),3.3148847134515065,9,2
Follicle No. (R),3.294172362087333,10,2
AMH(ng/mL),3.0905391733996677,11,2
Fast food (Y/N),2.527125478207702,12,2
Pulse rate(bpm) ,1.4619432547040683,13,2
Hb(g/dl),1.2883023442644186,14,2
Avg. F size (R) (mm),1.0030798529745517,15,2
Hip(inch),0.7143993588882455,16,2
Weight (Kg),0.5923682556959212,17,2
Hair loss(Y/N),0.5038406905833045,18,2
Pimples(Y/N),0.30203869050683685,19,2
Skin darkening (Y/N),0.2726799991322904,20,2
BMI,0.20128537970358068,21,2
Endometrium (mm),0.07620778829013698,22,2
Waist(inch),0.012666945769936662,23,2
BMI,2.9568645976915664,1,3
Cycle(R/I),2.4816437620341794,2,3
Weight (Kg),2.3736856827137824,3,3
Cycle length(days),1.5406187834261371,4,3
Weight gain(Y/N),1.5277582388836635,5,3
Marraige Status (Yrs),1.4141098736015287,6,3
hair growth(Y/N),1.217533897588395,7,3
Hb(g/dl),0.70098073824144,8,3
AMH(ng/mL),0.6895652306216018,9,3
Avg. F size (R) (mm),0.5996158709607746,10,3
Follicle No. (L),0.541379007532664,11,3
Hair loss(Y/N),0.4942213372410605,12,3
Hip(inch),0.2960643292592739,13,3
Waist(inch),0.1676208389005793,14,3
Pimples(Y/N),0.06561515648693705,15,3
Avg. F size (L) (mm),0.06461479159164986,16,3
Follicle No. (R),0.040657965133025234,17,3
Endometrium (mm),0.04002995380237479,18,3
Fast food (Y/N),0.011521755854362447,19,3
Skin darkening (Y/N),0.004208491115453484,20,3
Pulse rate(bpm) ,0.002437618327988867,21,3
 Age (yrs),0.0009053412693433775,22,3
Vit D3 (ng/mL),-3.978179670843949e+16,23,3
Vit D3 (ng/mL),60.0,1,4
 Age (yrs),9.08877636258112,2,4
Follicle No. (L),5.613871774473542,3,4
Follicle No. (R),4.257637339018556,4,4
Endometrium (mm),3.334783616550733,5,4
Avg. F size (L) (mm),1.8584067321020743,6,4
hair growth(Y/N),1.554082461985174,7,4
Cycle(R/I),1.4931153636644974,8,4
Avg. F size (R) (mm),0.8460258640098443,9,4
Hip(inch),0.7560458243671875,10,4
BMI,0.5905901068353279,11,4
Cycle length(days),0.27697810988271504,12,4
Hair loss(Y/N),0.2763353722665349,13,4
Pimples(Y/N),0.269779112080513,14,4
Skin darkening (Y/N),0.08755150163839688,15,4
Hb(g/dl),0.05744898603259843,16,4
Fast food (Y/N),0.04282414985892066,17,4
Weight (Kg),0.03615325044756526,18,4
Weight gain(Y/N),0.030158494112346997,19,4
Pulse rate(bpm) ,0.02100191283020272,20,4
Marraige Status (Yrs),0.015820429439513204,21,4
AMH(ng/mL),0.012569661333384578,22,4
Waist(inch),0.005891210278011655,23,4
Follicle No. (R),4.8289723676539795,1,5
Follicle No. (L),3.0262994563724575,2,5
hair growth(Y/N),2.380392610612012,3,5
Cycle(R/I),2.015435881049473,4,5
Skin darkening (Y/N),1.7575111254045162,5,5
Cycle length(days),1.422596971124612,6,5
Weight gain(Y/N),1.4122283419962087,7,5
Hair loss(Y/N),1.1117008904479317,8,5
Fast food (Y/N),1.0701591330923723,9,5
Pimples(Y/N),0.9249311086936945,10,5
 Age (yrs),0.24026440149428657,11,5
Endometrium (mm),0.15995391664076855,12,5
Avg. F size (R) (mm),0.15738140059927916,13,5
Pulse rate(bpm) ,0.1309080459877891,14,5
Hip(inch),0.06776741105739846,15,5
Weight (Kg),0.06750765142296805,16,5
Waist(inch),0.0514901618488598,17,5
Avg. F size (L) (mm),0.03630432494896333,18,5
AMH(ng/mL),0.031955424127909346,19,5
Hb(g/dl),0.026167696290064574,20,5
Marraige Status (Yrs),0.008471651858788393,21,5
BMI,0.00038976050660648263,22,5
Vit D3 (ng/mL),-1.1934539012531826e+17,23,5
