Feature,Importance Score,Rank
Weight gain(Y/N),60.0,1
hair growth(Y/N),17.22817516532385,2
Cycle(R/I),15.857888265465157,3
Fast food (Y/N),10.96327860654378,4
Follicle No. (L),9.269616818432254,5
Follicle No. (R),4.758272105952028,6
Skin darkening (Y/N),2.882120022917049,7
Hair loss(Y/N),0.6640507306221854,8
Pimples(Y/N),0.62692680078674,9
PRG(ng/mL),0.46022939086563913,10
Cycle length(days),0.29768924267166197,11
  I   beta-HCG(mIU/mL),0.014873756121623756,12
FSH/LH,8.936294114223557e-05,13
Waist(inch),-1.7338858565376464e+17,14
