Feature,Importance Score,Rank
Waist:Hip Ratio,60.0,1
FSH/LH,55.0,2
Hip(inch),8.569515884034601,3
Cycle(R/I),7.6354343072548065,4
hair growth(Y/N),5.649897674787665,5
Hair loss(Y/N),2.9526583992061184,6
BMI,2.656557330739561,7
 Age (yrs),1.8193760879270506,8
Weight (Kg),1.42663767747634,9
Pimples(Y/N),1.006046019703749,10
AMH(ng/mL),0.8011363966538237,11
Height(Cm) ,0.7892305501870508,12
Cycle length(days),0.720707231729458,13
Reg.Exercise(Y/N),0.6391834056387667,14
Hb(g/dl),0.6097026398126444,15
Follicle No. (L),0.5580471558945809,16
Avg. F size (R) (mm),0.30918595309065117,17
Avg. F size (L) (mm),0.2789358343259299,18
Marraige Status (Yrs),0.26297490238408755,19
Follicle No. (R),0.2288979096070195,20
Weight gain(Y/N),0.22630075203424455,21
Endometrium (mm),0.20680249633023115,22
Pulse rate(bpm) ,0.1525269466466923,23
RBS(mg/dl),0.1460056709446245,24
Waist(inch),0.1319278913284943,25
Skin darkening (Y/N),0.0843141389295273,26
No. of aborptions,0.07843231338476732,27
Fast food (Y/N),0.03866743755121387,28
Vit D3 (ng/mL),0.020940853018425947,29
LH(mIU/mL),0.007024633027733439,30
